time,ecg
0.0,0.93418
0.25,0.12216
0.5,0.93198
0.75,0.11265
1.0,0.93089
1.25,0.11185
1.5,0.93951
1.75,0.13053
2.0,0.93917
2.25,0.11486
2.5,0.94628
2.75,0.12267
3.0,0.94271
3.25,0.11238
3.5,0.94414
3.75,0.1254
4.0,0.93588
4.25,0.11618
4.5,0.93092
4.75,0.10952
5.0,0.93072
5.25,0.11795
5.5,0.93256
5.75,0.12198
6.0,0.9414
6.25,0.11831
6.5,0.91977
6.75,0.11549
7.0,0.93946
7.25,0.12072
7.5,0.92986
7.75,0.116
8.0,0.93618
8.25,0.11335
8.5,0.9505
8.75,0.11335
9.0,0.94007
9.25,0.12689
9.5,0.93766
9.75,0.11893
10.0,0.94497
10.25,0.12033
10.5,0.93329
10.75,0.12043
11.0,0.95284
11.25,0.10743
11.5,0.94635
11.75,0.12075
12.0,0.9324
12.25,0.13581
12.5,0.94813
12.75,0.11023
13.0,0.94673
13.25,0.12445
13.5,0.94412
13.75,0.1253
14.0,0.94472
14.25,0.12517
14.5,0.95776
14.75,0.11444
15.0,0.94872
15.25,0.11613
15.5,0.94711
15.75,0.11034
16.0,0.94044
16.25,0.11826
16.5,0.95101
16.75,0.12898
17.0,0.9317
17.25,0.11345
17.5,0.94272
17.75,0.10384
18.0,0.92961
18.25,0.11899
18.5,0.94512
18.75,0.1253
19.0,0.93397
19.25,0.11683
19.5,0.93359
19.75,0.13197
20.0,0.93125
20.25,0.11735
20.5,0.93749
20.75,0.11881
21.0,0.93339
21.25,0.11087
21.5,0.93863
21.75,0.11626
22.0,0.95128
22.25,0.12503
22.5,0.93901
22.75,0.12514
23.0,0.93419
23.25,0.12821
23.5,0.93987
23.75,0.12448
24.0,0.93242
24.25,0.1226
24.5,0.93024
24.75,0.10354
25.0,0.94213
25.25,0.11263
25.5,0.94463
25.75,0.13778
26.0,0.93576
26.25,0.11483
26.5,0.94705
26.75,0.12379
27.0,0.94682
27.25,0.1182
27.5,0.9546
27.75,0.12401
28.0,0.94168
28.25,0.11923
28.5,0.95373
28.75,0.11145
29.0,0.95863
29.25,0.11303
