time,ecg
0.0000,-0.001642
0.0042,0.055483
0.0083,0.025493
0.0125,0.058684
0.0166,0.080103
0.0208,0.063416
0.0250,0.102608
0.0291,0.132481
0.0333,0.101777
0.0374,0.143342
0.0416,0.157430
0.0458,0.159836
0.0499,0.192954
0.0541,0.202754
0.0582,0.207359
0.0624,0.173390
0.0666,0.250298
0.0707,0.252724
0.0749,0.251324
0.0790,0.282982
0.0832,0.276691
0.0874,0.299354
0.0915,0.310851
0.0957,0.296443
0.0998,0.320377
0.1040,0.346698
0.1082,0.393599
0.1123,0.366403
0.1165,0.374543
0.1206,0.364511
0.1248,0.381471
0.1290,0.350599
0.1331,0.451905
0.1373,0.435209
0.1414,0.410560
0.1456,0.448647
0.1498,0.430758
0.1539,0.454040
0.1581,0.441955
0.1622,0.464331
0.1664,0.423727
0.1706,0.489025
0.1747,0.453261
0.1789,0.482520
0.1830,0.449103
0.1872,0.506460
0.1914,0.460722
0.1955,0.511836
0.1997,0.523691
0.2038,0.474637
0.2080,0.505850
0.2122,0.476600
0.2163,0.455281
0.2205,0.519446
0.2246,0.489297
0.2288,0.461839
0.2330,0.472506
0.2371,0.467574
0.2413,0.527266
0.2454,0.486072
0.2496,0.496065
0.2538,0.495463
0.2579,0.489614
0.2621,0.454696
0.2662,0.481031
0.2704,0.415056
0.2746,0.450563
0.2787,0.415395
0.2829,0.433194
0.2870,0.415758
0.2912,0.396633
0.2954,0.397875
0.2995,0.394919
0.3037,0.399319
0.3078,0.386006
0.3120,0.379393
0.3162,0.346951
0.3203,0.361690
0.3245,0.380557
0.3286,0.319852
0.3328,0.303993
0.3370,0.322124
0.3411,0.329421
0.3453,0.286728
0.3494,0.304848
0.3536,0.269981
0.3578,0.236252
0.3619,0.255265
0.3661,0.234124
0.3702,0.197378
0.3744,0.185694
0.3786,0.179474
0.3827,0.144080
0.3869,0.128584
0.3910,0.139053
0.3952,0.130077
0.3994,0.134946
0.4035,0.111391
0.4077,0.085272
0.4118,0.087661
0.4160,0.018303
0.4202,0.093960
0.4243,0.047895
0.4285,0.017212
0.4326,-0.000114
0.4368,-0.035902
0.4410,-0.020507
0.4451,-0.038192
0.4493,-0.049493
0.4534,-0.057696
0.4576,-0.070345
0.4618,-0.094241
0.4659,-0.106025
0.4701,-0.123149
0.4742,-0.155152
0.4784,-0.163004
0.4826,-0.180918
0.4867,-0.174262
0.4909,-0.182965
0.4950,-0.230169
0.4992,-0.253872
0.5034,-0.217585
0.5075,-0.237785
0.5117,-0.284380
0.5158,-0.291007
0.5200,-0.292283
0.5242,-0.320563
0.5283,-0.292929
0.5325,-0.297538
0.5366,-0.340327
0.5408,-0.331103
0.5450,-0.320184
0.5491,-0.346353
0.5533,-0.364152
0.5574,-0.408189
0.5616,-0.389464
0.5658,-0.394908
0.5699,-0.397727
0.5741,-0.411344
0.5782,-0.440810
0.5824,-0.452889
0.5866,-0.464237
0.5907,-0.404213
0.5949,-0.483850
0.5990,-0.478695
0.6032,-0.486658
0.6074,-0.425789
0.6115,-0.467266
0.6157,-0.490452
0.6198,-0.477171
0.6240,0.491499
0.6282,0.516585
0.6323,-0.483894
0.6365,-0.489994
0.6406,-0.518684
0.6448,-0.458637
0.6490,-0.495251
0.6531,-0.480198
0.6573,-0.470897
0.6614,-0.454490
0.6656,-0.486207
0.6698,-0.481202
0.6739,-0.513402
0.6781,-0.465374
0.6822,-0.490561
0.6864,-0.488547
0.6906,-0.444668
0.6947,-0.513098
0.6989,-0.481385
