time,ecg
0.0000,0.000299
0.0040,0.059753
0.0080,0.028534
0.0120,0.063074
0.0160,0.085361
0.0200,0.067986
0.0240,0.108769
0.0280,0.139851
0.0320,0.107884
0.0360,0.151134
0.0400,0.165784
0.0440,0.168274
0.0480,0.202729
0.0520,0.212914
0.0560,0.217690
0.0600,0.182317
0.0640,0.262346
0.0680,0.264852
0.0720,0.263375
0.0760,0.296304
0.0800,0.289733
0.0840,0.313299
0.0880,0.325241
0.0920,0.310220
0.0960,0.335106
0.1000,0.362475
0.1040,0.411263
0.1080,0.382929
0.1120,0.391371
0.1160,0.380901
0.1200,0.398523
0.1240,0.366359
0.1280,0.471768
0.1320,0.454358
0.1360,0.428669
0.1400,0.468277
0.1440,0.449623
0.1480,0.473820
0.1520,0.461205
0.1560,0.484458
0.1600,0.442159
0.1640,0.510085
0.1680,0.472823
0.1720,0.503237
0.1760,0.468417
0.1800,0.528075
0.1840,0.480430
0.1880,0.533589
0.1920,0.545886
0.1960,0.494789
0.2000,0.527233
0.2040,0.496746
0.2080,0.474514
0.2120,0.541255
0.2160,0.509832
0.2200,0.481209
0.2240,0.492267
0.2280,0.487090
0.2320,0.549173
0.2360,0.506253
0.2400,0.516609
0.2440,0.515938
0.2480,0.509805
0.2520,0.473416
0.2560,0.500780
0.2600,0.432067
0.2640,0.468978
0.2680,0.432329
0.2720,0.450809
0.2760,0.432616
0.2800,0.412665
0.2840,0.413912
0.2880,0.410790
0.2920,0.415324
0.2960,0.401423
0.3000,0.394495
0.3040,0.360684
0.3080,0.375981
0.3120,0.395574
0.3160,0.332348
0.3200,0.315797
0.3240,0.334625
0.3280,0.342177
0.3320,0.297698
0.3360,0.316516
0.3400,0.280185
0.3440,0.245037
0.3480,0.264785
0.3520,0.242741
0.3560,0.204454
0.3600,0.192254
0.3640,0.185742
0.3680,0.148864
0.3720,0.132698
0.3760,0.143557
0.3800,0.134177
0.3840,0.139209
0.3880,0.114657
0.3920,0.087438
0.3960,0.089890
0.4000,0.017667
0.4040,0.096380
0.4080,0.048403
0.4120,0.016436
0.4160,-0.001627
0.4200,-0.038906
0.4240,-0.022912
0.4280,-0.041347
0.4320,-0.053136
0.4360,-0.061701
0.4400,-0.074892
0.4440,-0.099788
0.4480,-0.112077
0.4520,-0.129922
0.4560,-0.163254
0.4600,-0.171448
0.4640,-0.190113
0.4680,-0.183205
0.4720,-0.192282
0.4760,-0.241430
0.4800,-0.266117
0.4840,-0.228365
0.4880,-0.249403
0.4920,-0.297914
0.4960,-0.304824
0.5000,-0.306164
0.5040,-0.335609
0.5080,-0.306857
0.5120,-0.311663
0.5160,-0.356206
0.5200,-0.346612
0.5240,-0.335253
0.5280,-0.362495
0.5320,-0.381023
0.5360,-0.426861
0.5400,-0.407373
0.5440,-0.413039
0.5480,-0.415974
0.5520,-0.430144
0.5560,-0.460810
0.5600,-0.473379
0.5640,-0.485185
0.5680,-0.422705
0.5720,-0.505586
0.5760,-0.500213
0.5800,-0.508493
0.5840,-0.445129
0.5880,-0.488288
0.5920,-0.512409
0.5960,-0.498573
0.6000,0.509648
0.6040,0.535772
0.6080,-0.505526
0.6120,-0.511859
0.6160,-0.541703
0.6200,-0.479186
0.6240,-0.517275
0.6280,-0.501586
0.6320,-0.491885
0.6360,-0.474786
0.6400,-0.507774
0.6440,-0.502541
0.6480,-0.536030
0.6520,-0.486016
0.6560,-0.512205
0.6600,-0.510081
0.6640,-0.464383
0.6680,-0.535577
0.6720,-0.502540
0.6760,-0.493762
0.6800,-0.476112
0.6840,-0.469781
0.6880,-0.467248
0.6920,-0.431708
0.6960,-0.428607
0.7000,-0.408486
0.7040,-0.437267
0.7080,-0.395982
0.7120,-0.375005
0.7160,-0.429363
0.7200,-0.388720
0.7240,-0.369068
0.7280,-0.333415
0.7320,-0.354441
0.7360,-0.375434
0.7400,-0.332613
0.7440,-0.314938
0.7480,-0.332683
0.7520,-0.328153
0.7560,-0.290792
0.7600,-0.259969
0.7640,-0.258750
0.7680,-0.209570
0.7720,-0.242350
0.7760,-0.224713
0.7800,-0.191571
0.7840,-0.195051
0.7880,-0.179510
