time,ecg
0.0000,0.001591
0.0038,0.062760
0.0077,0.030590
0.0115,0.066112
0.0154,0.089020
0.0192,0.071098
0.0230,0.113045
0.0269,0.145006
0.0307,0.112061
0.0346,0.156546
0.0384,0.171589
0.0422,0.174114
0.0461,0.209544
0.0499,0.219989
0.0538,0.224867
0.0576,0.188413
0.0614,0.270755
0.0653,0.273294
0.0691,0.271733
0.0730,0.305589
0.0768,0.298783
0.0806,0.323000
0.0845,0.335251
0.0883,0.319746
0.0922,0.345321
0.0960,0.373452
0.0998,0.423632
0.1037,0.394421
0.1075,0.403069
0.1114,0.392247
0.1152,0.410344
0.1190,0.377191
0.1229,0.485657
0.1267,0.467692
0.1306,0.441204
0.1344,0.481933
0.1382,0.462687
0.1421,0.487552
0.1459,0.474524
0.1498,0.498417
0.1536,0.454831
0.1574,0.524712
0.1613,0.486312
0.1651,0.517577
0.1690,0.481691
0.1728,0.543062
0.1766,0.493974
0.1805,0.548656
0.1843,0.561274
0.1882,0.508633
0.1920,0.541992
0.1958,0.510568
0.1997,0.487643
0.2035,0.556307
0.2074,0.523922
0.2112,0.494419
0.2150,0.505764
0.2189,0.500398
0.2227,0.564270
0.2266,0.520052
0.2304,0.530677
0.2342,0.529951
0.2381,0.523603
0.2419,0.486110
0.2458,0.514246
0.2496,0.443480
0.2534,0.481444
0.2573,0.443687
0.2611,0.462680
0.2650,0.443922
0.2688,0.423355
0.2726,0.424610
0.2765,0.421369
0.2803,0.426010
0.2842,0.411675
0.2880,0.404518
0.2918,0.369688
0.2957,0.385411
0.2995,0.405557
0.3034,0.340450
0.3072,0.323391
0.3110,0.342753
0.3149,0.350508
0.3187,0.304703
0.3226,0.324057
0.3264,0.286640
0.3302,0.250443
0.3341,0.270757
0.3379,0.248051
0.3418,0.208626
0.3456,0.196055
0.3494,0.189340
0.3533,0.151367
0.3571,0.134717
0.3610,0.145887
0.3648,0.136225
0.3686,0.141398
0.3725,0.116119
0.3763,0.088095
0.3802,0.090617
