time,ecg
0.0,0.0054
0.0028,-0.0164
0.0056,-0.017
0.0083,0.0149
0.0111,0.0142
0.0139,-0.0071
0.0167,-0.002
0.0194,-0.0082
0.0222,0.0146
0.025,0.0034
0.0278,-0.0155
0.0306,-0.0028
0.0333,0.0173
0.0361,0.0068
0.0389,0.0061
0.0417,0.0064
0.0444,-0.0015
0.0472,-0.0051
0.05,-0.0128
0.0528,-0.0044
0.0556,0.0099
0.0583,-0.0067
0.0611,-0.0057
0.0639,-0.0226
0.0667,0.0171
0.0694,0.0044
0.0722,0.0015
0.075,-0.0025
0.0778,0.0034
0.0806,0.0075
0.0833,0.0198
0.0861,0.0207
0.0889,0.0153
0.0917,0.0349
0.0944,0.0146
0.0972,0.0379
0.1,0.0151
0.1028,0.0438
0.1056,0.0527
0.1083,0.0522
0.1111,0.05
0.1139,0.0607
0.1167,0.0701
0.1194,0.0559
0.1222,0.0776
0.125,0.0881
0.1278,0.0728
0.1306,0.0767
0.1333,0.0889
0.1361,0.0821
0.1389,0.0712
0.1417,0.091
0.1444,0.0619
0.1472,0.084
0.15,0.0727
0.1528,0.0691
0.1556,0.0872
0.1583,0.0662
0.1611,0.0816
0.1639,0.0694
0.1667,0.0743
0.1694,0.0792
0.1722,0.0535
0.175,0.0523
0.1778,0.0759
0.1806,0.052
0.1833,0.0338
0.1861,0.0423
0.1889,0.0441
0.1917,0.0375
0.1944,0.0263
0.1972,0.0347
0.2,0.0126
0.2028,0.0326
0.2056,0.0217
0.2083,-0.0003
0.2111,0.007
0.2139,-0.0074
0.2167,0.0176
0.2194,0.0089
0.2222,-0.0085
0.225,0.0047
0.2278,0.0016
0.2306,0.0301
0.2333,-0.0122
0.2361,-0.0063
0.2389,0.0003
0.2417,-0.0013
0.2444,0.0041
0.2472,-0.0095
0.25,0.0137
0.2528,-0.002
0.2556,0.0041
0.2583,-0.0042
0.2611,0.0134
0.2639,-0.0018
0.2667,-0.018
0.2694,-0.0128
0.2722,-0.0055
0.275,-0.0096
0.2778,-0.0167
0.2806,-0.0336
0.2833,-0.0423
0.2861,-0.0239
0.2889,-0.031
0.2917,-0.0212
0.2944,0.0877
0.2972,0.178
0.3,0.2988
0.3028,0.3959
0.3056,0.5149
0.3083,0.5914
0.3111,0.6558
0.3139,0.7222
0.3167,0.7694
0.3194,0.7857
0.3222,0.8032
0.325,0.7806
0.3278,0.766
0.3306,0.731
0.3333,0.6365
0.3361,0.579
0.3389,0.4891
0.3417,0.3925
0.3444,0.2796
0.3472,0.1907
0.35,0.0393
0.3528,-0.0356
0.3556,-0.0532
0.3583,-0.0703
0.3611,-0.0852
0.3639,-0.1114
0.3667,-0.103
0.3694,-0.116
0.3722,-0.1286
0.375,-0.1019
0.3778,-0.1118
0.3806,-0.0972
0.3833,-0.0657
0.3861,-0.045
0.3889,-0.0329
0.3917,-0.0182
0.3944,-0.0085
0.3972,-0.0115
0.4,0.0058
0.4028,-0.0022
0.4056,-0.0061
0.4083,0.0272
0.4111,0.0048
0.4139,0.0189
0.4167,-0.006
0.4194,0.0039
0.4222,0.0066
0.425,-0.0109
0.4278,-0.0026
0.4306,-0.0208
0.4333,-0.0118
0.4361,-0.0035
0.4389,0.018
0.4417,-0.0008
0.4444,-0.0186
0.4472,-0.0012
0.45,-0.0058
0.4528,0.0033
0.4556,-0.0032
0.4583,0.0036
0.4611,0.0195
0.4639,0.0051
0.4667,-0.0019
0.4694,0.0034
0.4722,-0.0046
0.475,0.0013
0.4778,0.0148
0.4806,-0.0115
0.4833,-0.0071
0.4861,-0.0064
0.4889,-0.0044
0.4917,0.0099
0.4944,-0.0055
0.4972,0.0117
0.5,0.0277
0.5028,0.046
0.5056,0.0504
0.5083,0.0484
0.5111,0.0559
