time,ecg
0.0,-0.002
0.0028,0.0033
0.0056,0.0078
0.0083,-0.0039
0.0111,0.0093
0.0139,0.0021
0.0167,0.0149
0.0194,0.0077
0.0222,-0.0037
0.025,-0.026
0.0278,0.0085
0.0306,0.0049
0.0333,0.0014
0.0361,-0.0144
0.0389,-0.0029
0.0417,0.0024
0.0444,-0.0005
0.0472,-0.0055
0.05,0.0004
0.0528,-0.0096
0.0556,-0.0109
0.0583,-0.0082
0.0611,0.012
0.0639,0.0294
0.0667,-0.0073
0.0694,0.0043
0.0722,0.0098
0.075,-0.0013
0.0778,0.0001
0.0806,-0.0051
0.0833,0.0027
0.0861,-0.0007
0.0889,-0.0013
0.0917,0.0295
0.0944,0.014
0.0972,0.0178
0.1,0.0426
0.1028,0.0433
0.1056,0.0507
0.1083,0.0299
0.1111,0.0398
0.1139,0.0469
0.1167,0.0489
0.1194,0.0707
0.1222,0.0774
0.125,0.0706
0.1278,0.069
0.1306,0.0785
0.1333,0.0935
0.1361,0.0736
0.1389,0.0695
0.1417,0.0614
0.1444,0.0759
0.1472,0.0613
0.15,0.0803
0.1528,0.0889
0.1556,0.0758
0.1583,0.0755
0.1611,0.0811
0.1639,0.0832
0.1667,0.0793
0.1694,0.0811
0.1722,0.0752
0.175,0.0721
0.1778,0.0548
0.1806,0.0894
0.1833,0.0692
0.1861,0.0655
0.1889,0.0554
0.1917,0.0368
0.1944,0.0379
0.1972,0.0406
0.2,0.0229
0.2028,0.0469
0.2056,0.0252
0.2083,0.032
0.2111,0.0206
0.2139,0.018
0.2167,0.0102
0.2194,0.0019
0.2222,0.0096
0.225,0.0058
0.2278,-0.0036
0.2306,0.0003
0.2333,-0.0017
0.2361,0.0005
0.2389,0.0055
0.2417,0.0113
0.2444,-0.0115
0.2472,0.0038
0.25,-0.007
0.2528,-0.0127
0.2556,0.0065
0.2583,-0.0105
0.2611,-0.0101
0.2639,-0.0082
0.2667,-0.0059
0.2694,0.0219
0.2722,-0.01
0.275,-0.0043
0.2778,-0.0043
0.2806,-0.0032
0.2833,-0.0012
0.2861,0.0129
0.2889,-0.0153
0.2917,-0.0105
0.2944,-0.0328
0.2972,-0.0474
0.3,-0.0367
0.3028,-0.0257
0.3056,0.0035
0.3083,0.0138
0.3111,0.1498
0.3139,0.2636
0.3167,0.3512
0.3194,0.4506
0.3222,0.5351
0.325,0.6269
0.3278,0.6708
0.3306,0.7332
0.3333,0.7743
0.3361,0.8004
0.3389,0.8004
0.3417,0.7888
0.3444,0.7852
0.3472,0.714
0.35,0.6483
0.3528,0.594
0.3556,0.4983
0.3583,0.4398
0.3611,0.3203
0.3639,0.2133
0.3667,0.0942
0.3694,-0.0051
0.3722,-0.019
0.375,-0.0414
0.3778,-0.0767
0.3806,-0.0793
0.3833,-0.0913
0.3861,-0.0983
0.3889,-0.1164
0.3917,-0.1132
0.3944,-0.111
0.3972,-0.0934
0.4,-0.077
0.4028,-0.0775
0.4056,-0.041
0.4083,-0.0147
0.4111,-0.0111
0.4139,-0.0034
0.4167,0.006
0.4194,0.0101
0.4222,-0.0244
0.425,0.0096
0.4278,-0.0098
0.4306,0.0198
0.4333,0.0091
0.4361,-0.0147
0.4389,-0.0152
0.4417,0.015
0.4444,-0.0063
0.4472,0.0044
0.45,-0.0024
0.4528,0.001
0.4556,0.0004
0.4583,-0.0022
0.4611,0.0023
0.4639,0.0032
0.4667,-0.0015
0.4694,-0.0092
0.4722,0.0013
0.475,0.005
0.4778,-0.0171
0.4806,-0.0075
0.4833,-0.0064
0.4861,-0.0009
0.4889,-0.0015
0.4917,-0.0055
0.4944,0.0207
0.4972,-0.0053
0.5,-0.0144
0.5028,-0.0055
0.5056,-0.0157
0.5083,-0.0071
0.5111,0.008
0.5139,-0.027
0.5167,0.0265
0.5194,0.0097
0.5222,0.0312
0.525,0.0344
0.5278,0.0258
0.5306,0.0549
0.5333,0.0522
0.5361,0.0714
0.5389,0.0573
0.5417,0.0435
0.5444,0.0786
0.5472,0.0835
0.55,0.0997
0.5528,0.0593
0.5556,0.0903
0.5583,0.092
0.5611,0.0924
0.5639,0.1086
0.5667,0.1125
0.5694,0.1191
0.5722,0.1258
0.575,0.1267
0.5778,0.138
0.5806,0.1336
0.5833,0.1218
0.5861,0.1348
0.5889,0.1457
0.5917,0.1235
0.5944,0.1506
0.5972,0.1382
0.6,0.1549
0.6028,0.1292
0.6056,0.1538
0.6083,0.1412
0.6111,0.1649
0.6139,0.141
0.6167,0.1569
0.6194,0.1592
0.6222,0.1474
0.625,0.1439
0.6278,0.1433
0.6306,0.1535
0.6333,0.1522
0.6361,0.1525
0.6389,0.1533
0.6417,0.1346
0.6444,0.13
0.6472,0.1261
0.65,0.1328
0.6528,0.1295
0.6556,0.1166
0.6583,0.1159
0.6611,0.1038
0.6639,0.0963
0.6667,0.1086
0.6694,0.0929
0.6722,0.1004
0.675,0.0725
0.6778,0.0948
0.6806,0.101
0.6833,0.0713
0.6861,0.0639
0.6889,0.0652
0.6917,0.0641
0.6944,0.0511
0.6972,0.0579
0.7,0.0474
0.7028,0.0318
