time,ecg
0.0,0.0076
0.0028,-0.002
0.0056,0.0149
0.0083,0.0056
0.0111,-0.0259
0.0139,0.0148
0.0167,0.0063
0.0194,0.01
0.0222,-0.0233
0.025,-0.0078
0.0278,-0.0082
0.0306,0.0198
0.0333,-0.0013
0.0361,-0.0173
0.0389,0.0141
0.0417,-0.0039
0.0444,0.0113
0.0472,0.0018
0.05,-0.0241
0.0528,0.0131
0.0556,0.0084
0.0583,-0.0007
0.0611,0.0021
0.0639,0.0042
0.0667,0.0017
0.0694,0.0008
0.0722,0.0137
0.075,-0.0062
0.0778,-0.0072
0.0806,0.0039
0.0833,0.0206
0.0861,0.0129
0.0889,0.0381
0.0917,0.0359
0.0944,0.0378
0.0972,0.0403
0.1,0.0442
0.1028,0.0527
0.1056,0.0578
0.1083,0.0614
0.1111,0.0534
0.1139,0.0442
0.1167,0.063
0.1194,0.0775
0.1222,0.0595
0.125,0.0808
0.1278,0.0809
0.1306,0.0931
0.1333,0.087
0.1361,0.0802
0.1389,0.0862
0.1417,0.0606
0.1444,0.0727
0.1472,0.0811
0.15,0.0878
0.1528,0.0634
0.1556,0.0582
0.1583,0.0717
0.1611,0.0671
0.1639,0.0753
0.1667,0.0783
0.1694,0.0584
0.1722,0.0663
0.175,0.0688
0.1778,0.07
0.1806,0.055
0.1833,0.0438
0.1861,0.0316
0.1889,0.0381
0.1917,0.0199
0.1944,0.0318
0.1972,0.0213
0.2,0.0278
0.2028,0.0021
0.2056,0.011
0.2083,-0.0021
0.2111,-0.0108
0.2139,-0.0019
0.2167,-0.0089
0.2194,0.0062
0.2222,-0.0037
0.225,-0.0111
0.2278,-0.0036
0.2306,0.0001
0.2333,-0.0045
0.2361,-0.001
0.2389,0.0128
0.2417,-0.0031
0.2444,-0.0049
0.2472,0.0162
0.25,0.0186
0.2528,0.0098
0.2556,0.0168
0.2583,0.0121
0.2611,0.0189
0.2639,-0.0028
0.2667,0.0027
0.2694,-0.0071
0.2722,-0.0292
0.275,-0.0245
0.2778,-0.0215
0.2806,-0.0281
0.2833,-0.0186
0.2861,-0.0108
0.2889,0.0803
0.2917,0.2189
0.2944,0.3358
0.2972,0.4522
0.3,0.537
0.3028,0.6235
0.3056,0.6737
0.3083,0.7205
0.3111,0.7838
0.3139,0.8019
0.3167,0.8161
0.3194,0.7776
0.3222,0.738
0.325,0.7059
0.3278,0.6498
0.3306,0.5432
0.3333,0.4463
0.3361,0.3526
0.3389,0.2417
0.3417,0.1127
0.3444,0.017
0.3472,-0.017
0.35,-0.0429
0.3528,-0.0815
0.3556,-0.1079
0.3583,-0.1193
0.3611,-0.1114
0.3639,-0.1293
0.3667,-0.1044
0.3694,-0.0993
0.3722,-0.0743
0.375,-0.0687
0.3778,-0.0602
0.3806,-0.0214
0.3833,-0.0186
0.3861,-0.0165
0.3889,-0.0195
0.3917,-0.0132
0.3944,-0.0141
0.3972,0.0027
0.4,-0.0055
0.4028,0.0084
0.4056,-0.0056
0.4083,-0.0035
0.4111,0.0091
0.4139,-0.0011
0.4167,-0.0051
0.4194,-0.0073
0.4222,0.0035
0.425,-0.0192
0.4278,0.0108
0.4306,-0.004
0.4333,-0.0027
0.4361,-0.0044
0.4389,0.0127
0.4417,0.0033
0.4444,0.0081
0.4472,0.0148
0.45,-0.0101
0.4528,-0.0019
0.4556,0.0109
0.4583,0.0014
0.4611,0.001
0.4639,-0.0028
0.4667,-0.0128
0.4694,0.0134
0.4722,0.002
0.475,0.0148
0.4778,0.0134
0.4806,0.0077
0.4833,-0.0053
0.4861,-0.0018
0.4889,0.0169
0.4917,0.0311
0.4944,0.042
0.4972,0.025
0.5,0.0524
0.5028,0.0385
0.5056,0.0568
0.5083,0.0682
0.5111,0.0855
0.5139,0.0994
0.5167,0.1138
0.5194,0.104
0.5222,0.1036
0.525,0.0919
0.5278,0.1232
0.5306,0.1101
0.5333,0.1174
0.5361,0.0957
0.5389,0.1031
0.5417,0.1292
0.5444,0.1386
0.5472,0.1226
0.55,0.1316
0.5528,0.1469
0.5556,0.1554
0.5583,0.158
0.5611,0.1596
0.5639,0.1367
0.5667,0.1375
0.5694,0.1554
0.5722,0.1439
0.575,0.1561
0.5778,0.1615
0.5806,0.1588
0.5833,0.1423
0.5861,0.1424
0.5889,0.1698
0.5917,0.1462
0.5944,0.1292
0.5972,0.1406
0.6,0.148
0.6028,0.1229
0.6056,0.1352
0.6083,0.1371
0.6111,0.1029
0.6139,0.119
0.6167,0.1134
0.6194,0.0964
0.6222,0.0989
0.625,0.1127
0.6278,0.1027
0.6306,0.0878
0.6333,0.0781
0.6361,0.0777
0.6389,0.0808
0.6417,0.0573
0.6444,0.0785
0.6472,0.0574
0.65,0.048
0.6528,0.0326
0.6556,0.0354
0.6583,0.0244
0.6611,0.0253
0.6639,0.0028
0.6667,-0.0073
0.6694,-0.0068
0.6722,-0.0071
0.675,-0.0037
0.6778,0.0165
0.6806,-0.0094
0.6833,-0.0057
0.6861,0.0058
0.6889,-0.0003
0.6917,0.0062
0.6944,-0.0138
0.6972,0.0141
0.7,0.0084
0.7028,-0.0002
0.7056,-0.0122
0.7083,-0.0084
0.7111,0.0032
0.7139,-0.0131
0.7167,0.0025
0.7194,-0.0262
0.7222,-0.0002
0.725,0.0194
0.7278,-0.0044
0.7306,0.0002
0.7333,0.0027
0.7361,0.004
0.7389,-0.0128
0.7417,0.0092
0.7444,0.0022
0.7472,0.0217
0.75,0.0069
0.7528,-0.0002
0.7556,0.0027
0.7583,0.0219
0.7611,-0.0168
0.7639,-0.0097
0.7667,-0.0078
0.7694,0.0226
0.7722,0.0132
0.775,0.0036
0.7778,-0.0084
0.7806,-0.0063
0.7833,0.0083
0.7861,-0.0097
0.7889,0.0075
0.7917,0.0008
0.7944,0.0123
0.7972,-0.0011
0.8,0.0226
0.8028,-0.009
0.8056,0.0004
0.8083,-0.0002
0.8111,0.0105
0.8139,0.0004
0.8167,-0.0053
0.8194,-0.0189
0.8222,0.008
0.825,0.0108
0.8278,0.0139
0.8306,0.002
0.8333,0.0102
0.8361,-0.0002
0.8389,-0.0111
0.8417,0.0173
0.8444,-0.0129
0.8472,-0.0019
0.85,0.0067
0.8528,-0.0115
0.8556,0.0045
0.8583,0.0077
0.8611,-0.0045
0.8639,-0.001
0.8667,-0.0144
0.8694,0.0034
0.8722,0.0035
0.875,-0.002
0.8778,-0.0037
0.8806,0.0101
0.8833,0.0041
0.8861,0.0018
0.8889,0.0078
0.8917,-0.0069
0.8944,-0.0075
0.8972,0.0059
0.9,-0.0216
0.9028,0.0135
0.9056,-0.001
0.9083,-0.0007
0.9111,0.0022
0.9139,-0.0121
0.9167,-0.0117
0.9194,0.0039
0.9222,0.0012
0.925,0.0158
0.9278,0.003
0.9306,0.0007
0.9333,-0.0181
0.9361,0.0077
0.9389,-0.0001
0.9417,0.0018
0.9444,0.01
0.9472,-0.0093
0.95,0.0009
0.9528,-0.0006
0.9556,-0.0075
0.9583,0.0019
0.9611,0.0145
0.9639,0.0065
0.9667,0.0105
0.9694,-0.0104
0.9722,-0.0023
0.975,0.0001
0.9778,0.0073
0.9806,-0.0134
0.9833,-0.0104
0.9861,-0.0039
0.9889,0.0006
0.9917,0.01
0.9944,-0.0025
0.9972,-0.0008
1.0,-0.0108
1.0028,0.0085
1.0056,-0.001
1.0083,-0.0218
1.0111,-0.0
1.0139,0.0173
1.0167,0.0151
1.0194,0.0077
1.0222,0.0064
1.025,0.0083
1.0278,0.0127
1.0306,-0.0089
1.0333,-0.006
1.0361,0.0077
1.0389,0.0019
1.0417,0.0095
1.0444,-0.0091
1.0472,-0.0046
1.05,-0.007
1.0528,0.0265
1.0556,0.0052
1.0583,0.0279
1.0611,0.0239
1.0639,0.0381
1.0667,0.0496
1.0694,0.052
1.0722,0.0229
1.075,0.0548
1.0778,0.0514
1.0806,0.0595
1.0833,0.0696
1.0861,0.0675
1.0889,0.0604
1.0917,0.0586
1.0944,0.0885
1.0972,0.0599
1.1,0.087
1.1028,0.0789
1.1056,0.0784
1.1083,0.0771
1.1111,0.0734
1.1139,0.0788
1.1167,0.0952
1.1194,0.0797
1.1222,0.0798
1.125,0.0796
1.1278,0.0799
1.1306,0.1043
1.1333,0.0875
1.1361,0.0807
1.1389,0.0634
1.1417,0.0608
1.1444,0.0719
1.1472,0.0674
1.15,0.0586
1.1528,0.0669
1.1556,0.0592
1.1583,0.0543
1.1611,0.0441
1.1639,0.0499
1.1667,0.0364
1.1694,0.0394
1.1722,0.0094
1.175,0.0263
1.1778,0.0247
1.1806,0.0194
1.1833,0.0125
1.1861,0.0139
1.1889,0.0089
1.1917,0.0176
1.1944,-0.0044
1.1972,-0.0071
1.2,0.0134
1.2028,-0.0093
1.2056,0.0122
1.2083,0.0114
1.2111,-0.0002
1.2139,0.0007
1.2167,-0.0109
1.2194,-0.0023
1.2222,0.008
1.225,0.0124
1.2278,0.0129
1.2306,0.0181
1.2333,-0.0078
1.2361,0.0105
1.2389,-0.0036
1.2417,-0.011
1.2444,0.0043
1.2472,0.0009
1.25,0.0031
1.2528,-0.0129
1.2556,0.0054
1.2583,0.0015
1.2611,-0.0337
1.2639,-0.0459
1.2667,-0.0431
1.2694,-0.0476
1.2722,-0.0501
1.275,-0.0298
1.2778,0.0021
1.2806,0.1083
1.2833,0.2048
1.2861,0.3089
1.2889,0.3942
1.2917,0.4992
1.2944,0.5783
1.2972,0.6586
1.3,0.713
1.3028,0.7696
1.3056,0.7802
1.3083,0.8015
1.3111,0.7872
1.3139,0.7882
1.3167,0.7499
1.3194,0.7188
1.3222,0.6613
1.325,0.583
1.3278,0.5262
1.3306,0.4297
1.3333,0.3537
1.3361,0.2413
1.3389,0.137
1.3417,0.0276
1.3444,-0.031
