time,ax,ay,az
0.0,0.004498,0.253288,10.220206
0.01,-0.065359,0.164443,9.971114
0.02,0.118949,0.371427,10.008217
0.03,0.369707,0.191116,10.165401
0.04,0.338738,0.168183,9.774351
0.05,0.037784,0.382929,10.121618
0.06,-0.237334,0.189454,10.066181
0.07,0.008773,-0.016295,10.254852
0.08,0.125305,0.30358,9.990533
0.09,0.15846,0.39654,10.071903
0.1,0.262502,0.282381,10.145649
0.11,0.248468,0.187993,10.025352
0.12,0.262227,0.284598,9.974528
0.13,0.067322,0.350136,10.035526
0.14,0.094817,0.094352,9.771632
0.15,0.021653,-0.056198,9.975382
0.16,0.233109,0.229291,10.264409
0.17,0.333762,0.404594,9.878266
0.18,0.373815,0.076844,9.960246
0.19,-0.153717,0.052773,10.104669
0.2,0.30173,0.271954,10.282479
0.21,0.083032,0.202724,9.926513
0.22,0.335591,0.128893,10.035875
0.23,0.097003,0.40175,10.399046
0.24,0.371232,0.120301,10.18329
0.25,0.17019,0.267867,10.274292
0.26,0.179101,0.332344,9.961011
0.27,0.398761,0.166951,10.035789
0.28,0.200157,0.315443,10.334591
0.29,0.430833,0.279853,10.213553
0.3,0.401863,0.197038,10.255009
0.31,0.276884,0.102658,10.273295
0.32,0.227981,0.36241,10.300278
0.33,0.489299,0.272153,10.075527
0.34,0.423645,0.23479,9.947433
0.35,0.546225,0.120165,10.016164
0.36,0.03856,0.017802,10.064519
0.37,0.256156,-0.204657,9.73195
0.38,0.230181,0.15072,10.221808
0.39,0.3737,0.008522,10.291478
0.4,0.152323,0.077872,10.150546
0.41,0.170708,0.400772,10.008438
0.42,0.294754,0.204221,10.143285
0.43,0.003379,0.069641,9.816602
0.44,-0.021442,-0.026757,9.797147
0.45,0.258052,0.091387,10.422391
0.46,0.667939,0.096058,9.746122
0.47,0.280823,-0.11173,10.258175
0.48,0.200777,-0.106591,10.356154
0.49,0.314931,-0.045645,10.098294
0.5,0.329462,-0.207581,10.085914
0.51,0.215487,-0.210011,10.12576
0.52,0.12485,-0.288744,9.703504
0.53,-0.017863,0.129466,9.973431
0.54,0.343187,-0.345914,10.339151
0.55,0.127787,-0.351769,10.100366
0.56,0.259442,-0.508171,10.046523
0.57,0.336354,-0.083338,10.083628
0.58,0.121028,-0.327922,9.940074
0.59,-0.063868,-0.081398,9.839614
0.6,0.110553,-0.210877,10.225788
0.61,0.109502,-0.020535,9.884061
0.62,0.195139,-0.346162,10.449263
0.63,0.022897,-0.21631,9.989069
0.64,0.00284,-0.064223,10.104039
0.65,0.025864,-0.053721,10.334651
0.66,0.126735,-0.077304,10.113549
0.67,0.193059,-0.160627,9.774484
0.68,0.395068,-0.250357,9.911928
0.69,0.321318,-0.16085,9.703871
0.7,-0.001207,-0.446078,9.970141
0.71,-0.102168,-0.306613,9.814988
0.72,-0.101054,-0.038007,9.954911
0.73,-0.217615,-0.109932,10.238657
0.74,-0.015214,-0.429271,10.29106
0.75,-0.195491,-0.190682,9.66157
0.76,-0.225955,-0.375165,9.652812
0.77,-0.228928,-0.278236,9.98003
