time,ax,ay,az
0.00,0.089854,0.159315,9.781039
0.01,0.137121,0.071834,9.821923
0.02,0.049964,0.100784,9.949014
0.03,0.197664,0.155849,9.824786
0.04,-0.063244,0.165880,9.836970
0.05,0.100322,0.118179,9.857724
0.06,-0.033032,0.146561,9.947517
0.07,0.136260,0.147584,9.786051
0.08,0.103535,0.111975,9.685962
0.09,0.201479,0.071379,9.668847
0.10,0.100142,0.179399,9.896749
0.11,0.030569,0.143275,9.854677
0.12,0.026253,-0.046858,9.808747
0.13,0.048095,0.052990,9.777794
0.14,0.029740,0.079789,9.856507
0.15,0.180772,0.101090,9.861414
0.16,0.177372,0.212187,9.890441
0.17,-0.042177,0.370505,9.733604
0.18,0.082752,-0.084180,9.670050
0.19,0.086723,0.134848,9.757135
0.20,0.021162,0.113800,9.715379
0.21,0.120568,0.091304,9.712200
0.22,0.204117,0.146466,10.011464
0.23,0.160229,0.112085,9.629783
0.24,0.198180,0.068047,9.905444
0.25,0.034359,0.095958,9.951159
0.26,0.096070,0.134603,9.961187
0.27,0.033099,0.123266,9.892141
0.28,0.114593,0.097527,9.998382
0.29,0.122770,0.031675,10.046699
0.30,0.174060,0.299633,9.840099
0.31,0.203096,0.098457,9.917028
0.32,0.153761,0.126140,10.001814
0.33,0.030337,0.019830,9.789987
0.34,-0.008633,0.070803,9.853635
0.35,0.141414,0.065233,9.817480
0.36,0.220006,-0.107292,9.928092
0.37,0.098014,-0.016805,9.694110
0.38,-0.022281,-0.023505,10.029502
0.39,0.266485,-0.018026,9.941132
0.40,0.138531,-0.060936,9.948653
0.41,0.112627,0.022749,9.655228
0.42,0.004936,0.125578,9.789440
0.43,0.098991,0.018749,10.044388
0.44,0.151849,-0.091690,9.879480
0.45,0.136228,-0.085164,9.726687
0.46,0.040569,-0.038354,9.923122
0.47,0.089255,-0.126919,9.970734
0.48,0.043288,0.005234,9.957818
0.49,0.224339,0.083714,9.891471
0.50,0.161324,-0.075967,10.021903
0.51,0.046209,-0.029101,9.839973
0.52,-0.007005,-0.074732,9.966002
0.53,0.106911,-0.095923,9.927306
0.54,0.043372,-0.035429,9.902298
0.55,0.047346,-0.108596,9.879501
0.56,-0.012090,-0.125022,9.884826
0.57,-0.004363,-0.194586,9.924187
0.58,0.087295,-0.064431,9.893457
0.59,0.050573,0.011354,9.997795
0.60,0.269201,-0.021676,9.872638
0.61,0.114494,0.037010,10.084805
0.62,-0.027788,-0.140226,9.871640
0.63,-0.061187,-0.021934,10.023435
0.64,0.090761,-0.181754,10.029459
0.65,0.024331,-0.040151,9.951425
0.66,0.159704,0.031499,9.944205
0.67,0.072778,-0.063099,9.865313
0.68,-0.111391,0.027259,9.888173
0.69,-0.037417,-0.156080,9.963518
0.70,-0.013012,-0.121187,9.938676
0.71,0.073198,-0.185738,10.063136
0.72,-0.049606,-0.111499,9.900997
0.73,0.043577,-0.094266,9.908666
0.74,-0.078840,-0.115072,9.783206
0.75,0.025214,-0.156153,10.015626
0.76,0.050958,-0.158299,10.008179
0.77,0.134889,-0.091997,10.052137
0.78,0.034205,-0.132671,10.059333
0.79,-0.054207,-0.212137,10.036433
0.80,0.127132,-0.271588,10.042188
0.81,-0.010412,-0.167005,10.021608
0.82,0.062673,-0.229257,10.038524
0.83,-0.051699,-0.184581,9.779420
0.84,0.001142,-0.150412,9.855127
0.85,-0.073666,-0.126802,9.840263
0.86,0.012782,-0.166720,10.095065
0.87,0.047890,0.063770,9.891204
0.88,-0.059399,-0.210266,9.908653
0.89,-0.067270,-0.010262,9.973032
0.90,0.002009,-0.117401,9.849412
0.91,-0.095853,-0.154175,10.013236
0.92,-0.154567,-0.051530,9.763531
0.93,-0.008116,-0.131523,9.860196
0.94,-0.048184,-0.156405,9.999189
0.95,-0.053027,0.054974,9.856492
0.96,-0.004131,-0.259944,10.111903
0.97,0.004000,-0.099977,9.987942
0.98,-0.064726,-0.061012,10.097829
0.99,-0.144583,0.040755,10.021709
1.00,-0.108714,-0.099281,9.986005
1.01,-0.013619,0.150098,9.888810
1.02,-0.052221,0.002701,10.082634
1.03,-0.109756,-0.242534,10.035085
1.04,-0.131089,-0.164457,10.200650
1.05,-0.021394,-0.024117,10.076237
1.06,-0.090949,-0.129400,9.954854
1.07,-0.015309,0.011196,10.024720
1.08,-0.007399,-0.063600,10.039160
1.09,-0.104900,-0.117597,10.114397
1.10,-0.005932,-0.093649,10.131428
1.11,-0.072765,0.057138,9.984169
1.12,-0.064250,-0.167361,9.879926
1.13,-0.262502,0.083600,9.817191
1.14,-0.166702,0.091443,9.889701
1.15,-0.163884,-0.015542,9.945546
1.16,-0.117453,-0.095917,10.156209
1.17,-0.084115,0.066340,10.158763
1.18,-0.082034,-0.011651,10.103851
1.19,-0.072673,-0.088622,10.131883
1.20,-0.151292,0.190580,9.939096
1.21,-0.042036,-0.027723,9.859281
1.22,0.046665,-0.069651,9.911122
1.23,-0.126960,0.075915,9.809240
1.24,-0.152285,0.052561,9.902258
1.25,-0.154397,0.181640,9.963975
1.26,-0.092994,0.036928,10.032142
1.27,-0.142033,0.042255,10.029903
1.28,-0.238420,0.103001,9.948264
1.29,-0.216437,0.096315,10.074978
1.30,-0.018064,0.102759,9.951879
1.31,0.003200,0.109936,10.020751
1.32,0.029102,0.104989,9.909557
1.33,-0.080212,0.061947,10.130215
1.34,-0.176899,0.165125,10.024209
1.35,-0.131861,0.072757,10.090770
1.36,-0.215208,0.168722,9.902015
1.37,-0.217252,0.218000,10.041807
1.38,-0.073290,0.055156,10.082313
1.39,-0.049328,0.303868,9.821392
1.40,0.065593,0.056416,10.143272
1.41,-0.096243,0.058671,9.902187
1.42,-0.196634,0.159736,10.048872
1.43,-0.096068,0.153052,10.207188
1.44,-0.107115,0.124414,10.124529
1.45,-0.121919,0.184821,9.880650
1.46,-0.053125,0.140013,10.012429
1.47,-0.175691,0.285251,10.154148
1.48,-0.065890,0.115671,9.949685
1.49,-0.021945,0.051254,9.995916
1.50,0.041874,0.074910,9.993642
1.51,-0.044424,0.155936,10.089944
1.52,0.016730,0.156040,9.879735
1.53,-0.099618,0.132370,10.096523
1.54,-0.085760,0.046335,9.972095
1.55,0.049175,0.201191,10.033688
1.56,-0.165547,0.265425,10.012765
1.57,-0.085171,0.110539,10.095644
1.58,0.040319,0.250556,10.033963
1.59,-0.063823,0.172293,10.180494
1.60,-0.066703,0.277555,10.135762
1.61,-0.061950,0.134729,9.957639
1.62,-0.028171,0.104499,10.174037
1.63,0.052568,0.157420,10.069769
1.64,0.042885,0.051609,10.055122
1.65,-0.026834,0.114951,10.123244
1.66,0.062977,0.184751,9.934583
1.67,0.006294,0.139603,9.901012
1.68,0.051070,0.067158,10.041693
1.69,-0.096517,0.081113,9.978796
1.70,0.128265,0.121003,10.247010
1.71,0.010239,0.113526,9.963403
1.72,-0.223793,0.110641,10.044041
1.73,0.132289,0.072749,10.059379
1.74,0.003386,-0.025507,10.163460
1.75,-0.025206,-0.017978,9.941012
1.76,-0.038577,0.066831,9.879381
1.77,0.048470,0.091094,10.180136
1.78,-0.054345,0.075321,10.048834
1.79,-0.026030,-0.040303,10.121831
1.80,-0.020735,-0.003859,10.126586
1.81,0.003460,-0.091206,10.143961
1.82,-0.011065,-0.114081,10.003204
1.83,0.101653,-0.001747,9.976111
1.84,0.058349,0.094907,9.841379
1.85,0.071300,-0.011212,9.941499
1.86,0.091850,0.128043,10.047174
1.87,0.038648,-0.043096,9.970775
1.88,-0.032491,-0.032766,9.926766
1.89,0.196528,-0.119766,10.045824
1.90,0.129234,-0.073402,10.174988
1.91,0.186910,-0.145859,10.034990
1.92,0.143430,-0.179225,9.927192
1.93,0.026547,-0.154250,10.167586
1.94,-0.121827,-0.058284,9.962786
1.95,-0.029760,-0.128596,10.187975
1.96,0.121963,-0.114056,10.013551
1.97,0.065291,-0.045528,10.049990
1.98,0.042144,-0.206308,10.195564
1.99,-0.121701,-0.079834,9.904110
2.00,0.079011,-0.022202,9.934020
2.01,-0.004459,-0.018826,10.006133
2.02,0.026058,-0.055610,10.024534
2.03,0.153841,-0.104252,10.302468
2.04,0.005222,-0.152907,9.949171
2.05,0.014476,-0.112311,9.907256
2.06,0.105528,0.024063,9.943787
2.07,0.161873,-0.088633,10.060260
2.08,0.061160,-0.121060,10.085914
2.09,0.211934,-0.069210,9.965652
2.10,-0.006669,-0.111882,10.038102
2.11,-0.019746,-0.099107,10.230143
2.12,-0.025726,-0.137973,10.038752
2.13,-0.034036,-0.152246,10.066934
2.14,0.125668,-0.039936,10.223320
2.15,0.021008,-0.275958,9.964193
2.16,-0.013216,-0.081704,9.957217
2.17,0.130233,-0.157941,9.986139
2.18,0.165895,-0.271775,9.979854
2.19,0.184059,-0.196633,9.850070
2.20,0.169904,-0.120604,10.045484
2.21,0.026206,-0.108411,10.052880
2.22,0.121394,-0.055893,10.012091
2.23,0.138592,-0.048773,10.054902
2.24,0.060268,-0.235235,10.055433
2.25,0.110738,-0.079146,9.897462
2.26,-0.003389,-0.048682,10.057385
2.27,0.045600,-0.086845,10.083806
2.28,0.124504,-0.061337,9.867666
2.29,0.214204,-0.253095,10.173099
2.30,0.184444,-0.174464,9.902608
2.31,0.143815,0.017484,9.911753
2.32,0.095831,-0.110536,10.045151
2.33,0.081839,0.093514,10.077794
2.34,-0.029653,-0.182605,10.101449
