time,ax,ay,az
0.00,0.032750,0.283110,9.899077
0.01,-0.033833,0.102149,10.032274
0.02,-0.026062,-0.034152,9.718631
0.03,-0.028307,0.160453,9.737029
0.04,-0.014423,0.093762,9.785281
0.05,-0.106196,0.098500,9.856422
0.06,0.017538,0.174751,9.830363
0.07,0.008472,0.201582,9.902512
0.08,-0.036430,0.123614,9.661509
0.09,0.075976,0.112517,9.875721
0.10,0.088953,0.367616,9.717375
0.11,-0.003908,0.263998,9.802342
0.12,0.048242,0.219645,10.062652
0.13,0.327144,0.134801,9.628896
0.14,0.325050,-0.002446,9.786642
0.15,-0.053488,0.252467,9.648433
0.16,-0.034413,0.133187,9.849426
0.17,-0.049580,0.045058,9.975861
0.18,0.206530,0.083348,9.853969
0.19,0.033900,-0.005446,9.814983
0.20,0.112427,0.235113,10.018403
0.21,0.325144,0.187708,9.879798
0.22,0.085993,0.124827,9.949365
0.23,0.173635,0.094967,9.935856
0.24,0.152865,0.015282,9.434138
0.25,0.021251,-0.161990,9.827165
0.26,0.220249,-0.079473,9.688053
0.27,-0.007614,-0.002770,9.723960
0.28,0.256225,-0.024720,10.047583
0.29,0.025919,0.113075,9.789741
0.30,0.039917,0.171481,10.108242
0.31,-0.032602,0.054283,9.647270
0.32,-0.012269,0.234213,9.693692
0.33,0.047939,-0.033494,9.953191
0.34,-0.192221,0.039373,9.799720
0.35,0.071812,0.044586,9.891584
0.36,0.039007,0.176726,9.833876
0.37,0.194798,0.053234,9.830675
0.38,0.150668,0.051334,9.809073
0.39,0.014788,-0.168571,9.877821
0.40,0.044353,-0.083337,9.943541
0.41,0.070781,0.150755,10.080745
0.42,0.276688,-0.235251,9.827383
0.43,-0.000983,0.169469,9.801628
0.44,0.010527,0.062772,9.784590
0.45,-0.039444,-0.092394,10.064495
0.46,-0.082885,-0.108036,9.956355
0.47,0.130660,0.213844,9.594823
0.48,0.116916,0.150246,9.589622
0.49,0.245137,-0.038867,9.746416
0.50,0.214704,-0.013743,9.895803
0.51,0.375810,-0.112733,9.859848
0.52,0.077608,-0.024241,9.937548
0.53,0.053422,-0.126421,9.841854
0.54,-0.073230,-0.060020,10.062985
0.55,0.164400,0.161708,9.976365
0.56,0.092951,-0.071824,9.880045
0.57,0.154702,-0.190805,10.030440
0.58,-0.062414,-0.233563,9.640146
0.59,0.114116,-0.058753,9.859974
0.60,0.094104,-0.169568,9.892021
0.61,0.083638,-0.052757,9.957931
0.62,-0.017645,-0.280605,9.634391
0.63,0.204383,-0.007169,9.838917
0.64,0.304944,-0.220763,9.932290
0.65,-0.077161,-0.091336,9.943871
0.66,0.139639,-0.140632,10.043961
0.67,-0.295114,0.103237,9.985340
0.68,0.127444,-0.085108,9.871028
0.69,-0.180282,0.125275,9.974851
0.70,-0.021986,-0.043160,9.852963
0.71,-0.119728,0.058565,9.902492
0.72,0.008740,-0.139338,9.993997
0.73,0.132007,-0.074380,9.877154
0.74,-0.194826,0.029083,9.934937
0.75,-0.018419,-0.009627,10.019594
0.76,-0.040248,-0.055322,9.985457
0.77,0.207694,-0.158963,10.059174
0.78,0.066370,-0.138981,10.213194
0.79,-0.130134,0.016527,9.986335
0.80,-0.048864,0.041704,9.824048
0.81,0.190975,-0.190509,9.960978
0.82,0.086511,-0.207926,9.955641
0.83,-0.112856,-0.226231,9.976571
0.84,-0.038169,-0.016983,10.100645
0.85,-0.037778,-0.226652,9.656220
0.86,-0.077556,-0.015327,10.104575
0.87,-0.221642,-0.046043,10.152327
0.88,-0.101129,-0.174789,9.973420
0.89,0.143514,0.080664,9.977399
0.90,-0.072274,-0.279867,9.861269
0.91,-0.042242,0.097571,9.896573
0.92,-0.016269,-0.060270,9.993979
0.93,0.229805,-0.344108,9.985529
0.94,-0.038504,0.099177,9.998287
0.95,0.088555,0.028455,9.985665
0.96,-0.117598,-0.135773,10.024239
0.97,-0.079988,-0.196153,10.009117
0.98,-0.050339,-0.264505,9.756088
0.99,-0.147665,0.217966,10.016513
1.00,-0.082073,-0.178212,10.160685
1.01,0.046150,-0.214414,9.897231
1.02,-0.159177,-0.025878,10.111350
1.03,-0.065765,-0.249698,9.773454
1.04,0.016710,-0.165948,9.898149
1.05,-0.169756,0.076324,9.812982
1.06,0.058233,0.017814,10.096252
1.07,-0.066781,-0.078995,10.133233
1.08,-0.097561,-0.025105,9.890072
1.09,-0.320850,-0.075011,10.068289
1.10,-0.126737,-0.023922,10.135798
1.11,-0.039246,-0.102432,9.900458
1.12,0.123771,-0.075153,9.923577
1.13,-0.019255,-0.073304,10.008450
1.14,0.046118,-0.081623,9.788109
1.15,-0.235641,0.136240,9.921786
1.16,-0.107179,0.108852,10.206658
1.17,0.053226,-0.090013,9.836949
1.18,-0.200982,-0.116069,10.026758
1.19,0.020294,0.013714,9.980813
1.20,-0.008498,0.296483,9.884800
1.21,-0.064379,-0.080294,9.938992
1.22,-0.137522,0.028774,10.153548
1.23,-0.217049,0.063757,9.985893
1.24,0.113854,0.044952,10.007960
1.25,-0.023747,0.007760,10.132890
1.26,-0.058957,0.205979,9.868422
1.27,-0.149514,0.126387,9.762529
1.28,-0.095449,0.177679,10.156811
1.29,-0.080130,0.151079,9.928488
1.30,-0.051694,0.191630,10.034599
1.31,-0.011223,0.278309,9.802876
1.32,-0.192786,0.251545,9.964090
1.33,-0.274308,0.374242,9.756208
1.34,-0.087513,0.244592,9.918771
1.35,-0.306486,0.021216,9.819194
1.36,-0.134737,0.206051,9.787075
1.37,-0.155963,0.192231,9.867540
1.38,-0.034701,0.339795,9.588920
1.39,0.145463,-0.004550,9.747614
1.40,-0.324427,0.180379,10.019530
1.41,0.183307,0.033373,9.958645
1.42,-0.115976,0.178042,9.759552
1.43,-0.044577,0.091957,9.986594
1.44,-0.254298,0.176205,9.786883
1.45,0.037004,-0.049879,10.010836
1.46,-0.075648,0.214990,9.893487
1.47,-0.085909,0.144719,9.864062
1.48,-0.308833,0.138192,9.896721
1.49,-0.065215,0.353641,10.267681
1.50,0.029795,0.073149,9.802979
1.51,-0.097607,0.159302,9.940782
1.52,0.074184,0.129196,10.018294
1.53,0.071841,0.139616,9.773991
1.54,-0.138348,0.380912,9.685347
1.55,0.132761,0.120156,9.824191
1.56,-0.050384,0.042392,10.014458
1.57,-0.046950,0.332709,9.860029
1.58,-0.038079,0.068785,9.875318
1.59,-0.038616,-0.089629,10.034932
1.60,-0.359471,0.011160,9.794275
1.61,-0.062984,-0.052670,9.894464
1.62,-0.201217,-0.122419,9.694666
1.63,0.160842,0.046479,9.951207
1.64,0.159279,0.077898,9.938129
1.65,0.074490,0.224105,10.017057
1.66,-0.053011,0.153948,9.745028
1.67,-0.141960,0.144357,9.878195
1.68,-0.096444,-0.037048,9.725818
1.69,0.219165,0.172239,9.870216
1.70,-0.093212,0.229143,10.112263
1.71,-0.288586,0.106200,9.860621
1.72,0.122759,0.107137,9.716136
1.73,0.185764,-0.096201,9.816116
1.74,0.214040,0.183652,9.693418
1.75,0.153253,0.276028,9.751472
1.76,0.193742,0.111540,10.050814
1.77,0.087757,0.019160,9.793707
1.78,-0.120160,0.098320,10.101279
1.79,0.201312,0.106716,10.152470
1.80,0.368754,0.167983,10.203909
1.81,0.406404,0.359900,10.484817
1.82,0.564526,0.404797,10.545579
1.83,0.668356,0.599186,11.066401
1.84,0.889960,0.647431,11.162404
1.85,1.473496,0.636616,11.540902
