time,ax,ay,az
0.00,0.066118,0.223134,9.928543
0.01,-0.091963,0.399465,9.914583
0.02,0.126133,-0.055261,9.887516
0.03,0.152148,0.288381,9.823695
0.04,-0.191690,0.123497,9.741110
0.05,-0.110725,0.213251,9.701556
0.06,0.063927,-0.080021,9.997367
0.07,0.013628,0.294827,9.924981
0.08,0.052490,0.213735,9.721973
0.09,-0.044995,0.115129,9.825738
0.10,0.165694,0.197405,9.779270
0.11,0.156225,0.028072,9.664459
0.12,0.073462,0.050087,9.848401
0.13,0.203378,0.063443,9.766481
0.14,0.126699,-0.104085,9.692412
0.15,-0.030112,0.220591,9.619805
0.16,0.119571,0.258862,9.609064
0.17,-0.037518,0.030157,9.777109
0.18,0.185097,0.154310,9.818304
0.19,0.075732,0.078631,9.708781
0.20,0.061482,0.147626,9.923531
0.21,0.003797,0.030434,9.824351
0.22,0.233953,-0.002980,9.915389
0.23,0.070341,0.226351,9.810113
0.24,0.039015,0.089298,9.726615
0.25,0.049581,0.336272,9.853876
0.26,0.157026,0.095635,9.662209
0.27,0.138204,-0.024781,9.915585
0.28,0.144967,0.229669,9.709940
0.29,0.148112,0.154047,9.970766
0.30,0.354271,0.161326,9.795898
0.31,0.049247,0.212568,9.993101
0.32,0.037173,-0.013192,9.688239
0.33,0.001498,0.045184,9.751574
0.34,0.173459,0.035064,9.900843
0.35,0.235289,-0.104186,10.012428
0.36,0.086291,0.014033,10.082925
0.37,-0.000822,0.200893,9.856427
0.38,0.000972,0.063787,10.108951
0.39,0.177775,-0.131517,9.812139
0.40,0.188569,-0.162049,10.007539
0.41,0.164114,0.219014,9.722821
0.42,0.018512,0.002951,9.914563
0.43,0.125553,-0.069380,9.528900
0.44,0.110900,-0.030067,9.700712
0.45,0.122229,-0.179969,9.924060
0.46,0.199531,0.162582,9.675968
0.47,0.120651,-0.060837,9.920461
0.48,0.174038,0.144966,9.988563
0.49,0.099315,-0.018336,9.792440
0.50,0.124429,0.141650,9.727929
0.51,0.163911,-0.004388,9.798148
0.52,-0.088386,0.061973,9.730265
0.53,0.046325,0.040738,9.852246
0.54,0.026353,0.024200,9.881639
0.55,0.004145,-0.013779,9.825428
0.56,0.045710,-0.088292,10.103595
0.57,0.255943,0.164810,9.769376
0.58,-0.029619,-0.178430,10.065793
0.59,0.188117,-0.073490,9.726111
0.60,-0.132464,-0.076474,9.882958
0.61,0.026767,-0.034056,10.039280
0.62,0.083878,-0.137801,10.032904
0.63,0.132011,-0.052229,9.816538
